player,team,tier,slot,slot_group,pos,pos_class,lineup_src,adj_mean,mean_shr,mean_ud,l15_mean,p20,adj_p20,max_ud,starts,modal_slot,start_rate15,hr_per_start,zeros_rate,mult,stack_score,blocked,pid,elite_power,law_slot_rank,tier_rank,model_rank,law_rank
Carson Benge,NYM,A,4,1,RF,OF,MODAL(last10),9.95,8.11,8.35,8.93,0.087,0.107,37.0,127,4,1.0,0.126,0.173,1.227,6.03,False,701807,False,1,0,15,1
Luis Robert Jr.,NYM,A,4,1,LF,OF,MODAL(last10),9.17,7.47,7.57,10.6,0.102,0.125,30.0,49,4,0.8,0.204,0.224,1.227,6.03,False,673357,True,1,0,28,2
Jared Young,NYM,A,5,1,1B,IF,MODAL(last10),8.87,7.23,7.16,8.93,0.029,0.036,22.0,69,5,0.8,0.116,0.217,1.227,6.03,False,676724,False,1,0,33,3
Bo Bichette,NYM,A,3,1,3B,IF,MODAL(last10),8.85,7.21,7.17,7.8,0.081,0.099,36.0,135,3,0.93,0.104,0.207,1.227,6.03,False,666182,False,1,0,34,4
Francisco Lindor,NYM,A,2,2,SS,IF,MODAL(last10),9.67,7.88,8.15,6.93,0.115,0.141,47.0,78,2,1.0,0.167,0.269,1.227,6.03,False,596019,True,2,0,18,5
A.J. Ewing,NYM,A,1,2,CF,OF,MODAL(last10),8.99,7.33,7.31,3.8,0.067,0.082,40.0,89,1,1.0,0.067,0.225,1.227,6.03,False,805999,False,3,0,31,6
Francisco Alvarez,NYM,A,9,3,C,IF,MODAL(last10),8.34,6.8,6.56,5.47,0.077,0.094,31.0,91,9,0.73,0.154,0.242,1.227,6.03,False,682626,False,4,0,41,7
Marcus Semien,NYM,A,7,3,2B,IF,MODAL(last10),7.94,6.47,6.16,5.07,0.061,0.075,32.0,115,7,0.87,0.113,0.304,1.227,6.03,False,543760,False,4,0,51,8
Luis Torrens,NYM,A,9,3,C,IF,MODAL(last10),7.77,6.33,5.71,9.07,0.046,0.056,29.0,65,9,0.53,0.108,0.369,1.227,6.03,False,620443,False,4,0,57,9
Brett Baty,NYM,A,7,3,LF,OF,MODAL(last10),7.71,6.28,5.88,5.6,0.037,0.045,26.0,109,7,0.6,0.073,0.294,1.227,6.03,False,683146,False,4,0,59,10
Matt Olson,ATL,A,3,1,1B,IF,MODAL(last10),9.98,8.94,9.41,5.8,0.123,0.137,37.0,138,3,1.0,0.261,0.188,1.116,5.77,False,621566,True,1,0,14,11
Michael Harris II,ATL,A,4,1,CF,OF,MODAL(last10),9.07,8.13,8.39,8.93,0.089,0.099,32.0,124,4,1.0,0.169,0.153,1.116,5.77,False,671739,False,1,0,29,12
Ozzie Albies,ATL,A,5,1,2B,IF,MODAL(last10),8.39,7.52,7.57,3.93,0.066,0.074,35.0,137,5,1.0,0.146,0.182,1.116,5.77,False,645277,False,1,0,38,13
Mauricio Dubón,ATL,A,6,1,SS,IF,MODAL(last10),8.04,7.2,7.16,4.73,0.047,0.052,28.0,127,6,0.87,0.079,0.181,1.116,5.77,False,643289,False,1,0,47,14
Drake Baldwin,ATL,A,1,2,C,IF,MODAL(last10),9.49,8.5,8.9,7.53,0.079,0.088,43.0,114,1,1.0,0.202,0.167,1.116,5.77,False,686948,True,2,0,19,15
Ronald Acuña Jr.,ATL,A,2,2,RF,OF,MODAL(last10),9.37,8.4,8.89,7.67,0.095,0.106,39.0,84,2,0.93,0.155,0.167,1.116,5.77,False,660670,False,3,0,21,16
Austin Riley,ATL,A,8,3,3B,IF,MODAL(last10),7.82,7.01,6.9,5.6,0.067,0.075,35.0,134,8,0.93,0.112,0.284,1.116,5.77,False,663586,False,4,0,54,17
Sean Murphy,ATL,A,9,3,C,IF,MODAL(last10),6.86,6.15,2.93,2.93,0.0,0.0,13.0,15,9,0.47,0.0,0.333,1.116,5.77,False,669221,False,4,0,87,18
Mike Yastrzemski,ATL,A,7,3,LF,OF,MODAL(last10),6.64,5.95,5.31,3.2,0.045,0.05,28.0,89,7,0.73,0.079,0.258,1.116,5.77,False,573262,False,4,0,93,19
Ryan Jeffers,MIN,A,3,1,C,IF,MODAL(last10),6.34,8.59,9.38,7.6,0.127,0.094,33.0,63,3,0.67,0.159,0.111,0.738,3.42,False,680777,False,1,0,109,20
Kody Clemens,MIN,A,5,1,2B,IF,MODAL(last10),6.01,8.15,8.43,8.93,0.125,0.092,29.0,112,5,0.93,0.196,0.188,0.738,3.42,False,665019,True,1,0,120,21
Josh Bell,MIN,A,4,1,DH,DH?,MODAL(last10),5.82,7.89,8.07,8.73,0.066,0.049,36.0,122,3,0.93,0.139,0.148,0.738,3.42,False,605137,False,1,0,126,22
Royce Lewis,MIN,A,6,1,1B,IF,MODAL(last10),5.54,7.5,7.57,5.2,0.051,0.038,25.0,99,6,1.0,0.131,0.162,0.738,3.42,False,668904,False,1,0,145,23
Byron Buxton,MIN,A,2,2,CF,OF,MODAL(last10),6.5,8.81,9.45,4.67,0.163,0.12,38.0,92,2,0.67,0.272,0.207,0.738,3.42,False,621439,True,2,0,101,24
Luke Keaschall,MIN,A,1,2,RF,OF,MODAL(last10),5.65,7.65,7.74,9.6,0.041,0.03,24.0,121,1,1.0,0.066,0.149,0.738,3.42,False,807712,False,3,0,134,25
Brooks Lee,MIN,A,7,3,3B,IF,MODAL(last10),5.63,7.63,7.72,8.27,0.072,0.053,30.0,125,7,1.0,0.168,0.24,0.738,3.42,False,686797,False,4,0,135,26
Trevor Larnach,MIN,A,7,3,LF,OF,MODAL(last10),5.56,7.53,7.6,4.07,0.097,0.072,26.0,93,1,0.67,0.108,0.226,0.738,3.42,False,663616,False,4,0,141,27
Kaelen Culpepper,MIN,A,9,3,SS,IF,MODAL(last10),5.34,7.23,6.94,6.2,0.0,0.0,16.0,17,9,0.93,0.118,0.059,0.738,3.42,False,701785,False,4,0,152,28
Isaac Paredes,HOU,B,3,1,3B,IF,MODAL(last10),7.84,8.02,8.24,9.2,0.087,0.085,31.0,126,3,1.0,0.135,0.135,0.978,4.31,False,670623,False,1,1,52,29
Christian Walker,HOU,B,6,1,1B,IF,MODAL(last10),7.64,7.81,7.95,4.93,0.094,0.092,36.0,128,6,0.87,0.188,0.227,0.978,4.31,False,572233,False,1,1,60,30
Jose Altuve,HOU,B,4,1,2B,IF,MODAL(last10),7.23,7.39,7.4,7.0,0.065,0.064,41.0,108,4,0.93,0.13,0.25,0.978,4.31,False,514888,False,1,1,72,31
Daulton Varsho,HOU,B,5,1,CF,OF,MODAL(last10),6.55,6.7,6.46,5.2,0.036,0.035,30.0,112,5,0.93,0.08,0.241,0.978,4.31,False,662139,False,1,1,99,32
Yordan Alvarez,HOU,B,2,2,LF,OF,MODAL(last10),10.14,10.37,11.27,9.73,0.194,0.19,39.0,134,2,1.0,0.284,0.127,0.978,4.31,False,670541,True,2,1,7,33
Jeremy Peña,HOU,B,1,2,DH,DH?,MODAL(last10),8.71,8.91,9.67,8.0,0.122,0.119,33.0,82,1,0.87,0.195,0.134,0.978,4.31,False,665161,True,2,1,35,34
Yainer Diaz,HOU,B,7,3,C,IF,MODAL(last10),6.9,7.06,6.88,7.13,0.062,0.061,38.0,65,7,0.53,0.154,0.246,0.978,4.31,False,673237,False,4,1,85,35
Cam Smith,HOU,B,8,3,RF,OF,MODAL(last10),6.89,7.04,6.93,7.2,0.078,0.076,33.0,116,8,0.73,0.147,0.302,0.978,4.31,False,701358,False,4,1,86,36
LaMonte Wade Jr.,HOU,B,7,3,RF,OF,MODAL(last10),6.72,6.87,6.21,5.33,0.069,0.067,29.0,29,7,0.47,0.069,0.276,0.978,4.31,False,664774,False,4,1,90,37
Taylor Trammell,HOU,B,8,3,RF,OF,MODAL(last10),6.6,6.75,6.32,4.47,0.054,0.053,25.0,56,7,0.67,0.125,0.304,0.978,4.31,False,666211,False,4,1,94,38
Jake Bauers,MIL,B,3,1,1B,IF,MODAL(last10),8.67,9.36,10.06,10.33,0.167,0.155,32.0,114,3,0.87,0.211,0.14,0.926,4.24,False,641343,True,1,1,36,39
Christian Yelich,MIL,B,5,1,DH,DH?,MODAL(last10),7.47,8.07,8.38,8.13,0.077,0.071,27.0,91,6,0.67,0.088,0.209,0.926,4.24,False,592885,False,1,1,63,40
William Contreras,MIL,B,3,1,C,IF,MODAL(last10),7.39,7.98,8.18,10.53,0.107,0.099,39.0,121,3,0.93,0.099,0.19,0.926,4.24,False,661388,False,1,1,68,41
Andrew Vaughn,MIL,B,4,1,1B,IF,MODAL(last10),7.07,7.64,7.82,5.47,0.062,0.057,35.0,65,5,0.73,0.077,0.154,0.926,4.24,False,683734,False,1,1,78,42
Luis Lara,MIL,B,6,1,RF,OF,MODAL(last10),6.91,7.46,7.59,7.0,0.094,0.087,28.0,32,2,0.73,0.031,0.188,0.926,4.24,False,800325,False,1,1,84,43
Jackson Chourio,MIL,B,2,2,LF,OF,MODAL(last10),8.39,9.06,9.76,9.93,0.133,0.123,46.0,98,2,1.0,0.194,0.122,0.926,4.24,False,694192,True,2,1,39,44
Brice Turang,MIL,B,1,2,2B,IF,MODAL(last10),8.27,8.93,9.43,7.07,0.11,0.102,36.0,127,2,0.67,0.126,0.134,0.926,4.24,False,668930,False,3,1,43,45
Garrett Mitchell,MIL,B,7,3,CF,OF,MODAL(last10),7.45,8.04,8.29,6.93,0.066,0.061,32.0,106,7,0.53,0.085,0.179,0.926,4.24,False,669003,False,4,1,64,46
Cooper Pratt,MIL,B,9,3,SS,IF,MODAL(last10),6.82,7.37,7.39,5.0,0.082,0.076,28.0,49,8,0.4,0.041,0.286,0.926,4.24,False,806198,False,4,1,88,47
David Hamilton,MIL,B,9,3,3B,IF,MODAL(last10),6.38,6.89,6.69,8.4,0.034,0.031,36.0,89,9,0.6,0.045,0.337,0.926,4.24,False,666152,False,4,1,106,48
Joey Ortiz,MIL,B,8,3,SS,IF,MODAL(last10),6.35,6.86,6.65,8.67,0.033,0.031,32.0,91,8,0.93,0.077,0.22,0.926,4.24,False,687401,False,4,1,108,49
Willson Contreras,BOS,C,4,1,1B,IF,MODAL(last10),11.54,8.89,9.39,9.4,0.105,0.136,31.0,124,4,0.93,0.21,0.113,1.298,5.28,False,575929,True,1,2,2,50
